2020-08-15 09:11:35 Debug: Notice (8): Undefined variable: formatOne in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 644]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: 2020-08-13 in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 644]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: book_3 in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 644]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: payment in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 644]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: receipt in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 645]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: expenses in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 646]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: expenses in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 646]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: cashin in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 647]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: cashin in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 647]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: cashout in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 648]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: cashout in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 648]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: 2020-08-14 in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 644]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: book_3 in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 644]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: payment in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 644]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: receipt in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 645]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: expenses in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 646]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: expenses in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 646]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: cashin in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 647]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: cashin in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 647]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: cashout in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 648]
2020-08-15 09:11:35 Debug: Notice (8): Undefined index: cashout in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\cash_books_controller.php, line 648]
2020-08-15 16:14:32 Debug: Notice (8): Undefined variable: return in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\homes_controller.php, line 32]
2020-08-15 16:15:25 Debug: Notice (8): Undefined variable: return in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\homes_controller.php, line 32]
2020-08-15 16:16:39 Debug: Notice (8): Undefined variable: return in [C:\Users\Default\AppData\xampp\htdocs\mypawnshop\app\controllers\homes_controller.php, line 32]
